country departure,country arrival,number of routes
Saint Vincent and the Grenadines,Barbados,2
Trinidad and Tobago,Barbados,4
United Kingdom,Barbados,7
United States,Barbados,6
Armenia,Belarus,1
Austria,Belarus,2
Azerbaijan,Belarus,2
Cyprus,Belarus,1
Czech Republic,Belarus,2
Finland,Belarus,2
France,Belarus,1
Georgia,Belarus,2
Germany,Belarus,4
Iran,Belarus,1
Israel,Belarus,1
Italy,Belarus,2
Kazakhstan,Belarus,1
Latvia,Belarus,2
Lebanon,Belarus,1
Netherlands,Belarus,1
Poland,Belarus,2
Russia,Belarus,9
Sweden,Belarus,1
Turkey,Belarus,2
Turkmenistan,Belarus,1
Ukraine,Belarus,2
United Arab Emirates,Belarus,1
United Kingdom,Belarus,1
Albania,Belgium,1
Algeria,Belgium,1
Austria,Belgium,2
Bulgaria,Belgium,2
Burkina Faso,Belgium,6
Cameroon,Belgium,7
Canada,Belgium,7
China,Belgium,2
Congo (Kinshasa),Belgium,7
Cote d'Ivoire,Belgium,6
Croatia,Belgium,2
Cyprus,Belgium,1
Czech Republic,Belgium,2
Denmark,Belgium,4
Egypt,Belgium,2
Estonia,Belgium,2
Finland,Belgium,5
France,Belgium,17
Gambia,Belgium,6
Germany,Belgium,14
Greece,Belgium,4
Hungary,Belgium,3
India,Belgium,7
Ireland,Belgium,2
Israel,Belgium,2
Italy,Belgium,29
Jordan,Belgium,1
Kenya,Belgium,6
Latvia,Belgium,3
Lebanon,Belgium,2
Liberia,Belgium,5
Lithuania,Belgium,4
Mali,Belgium,4
Malta,Belgium,2
Morocco,Belgium,11
Netherlands,Belgium,4
Norway,Belgium,3
Poland,Belgium,7
Portugal,Belgium,9
Qatar,Belgium,1
Romania,Belgium,3
Russia,Belgium,2
Rwanda,Belgium,1
Senegal,Belgium,1
Serbia,Belgium,2
Slovakia,Belgium,1
Slovenia,Belgium,2
Spain,Belgium,26
Sweden,Belgium,7
Switzerland,Belgium,6
Syria,Belgium,1
Thailand,Belgium,1
Togo,Belgium,6
Tunisia,Belgium,2
Turkey,Belgium,3
Uganda,Belgium,6
Ukraine,Belgium,2
United Arab Emirates,Belgium,4
United Kingdom,Belgium,24
United States,Belgium,22
Belize,Belize,30
El Salvador,Belize,2
United States,Belize,9
Burkina Faso,Benin,9
Cameroon,Benin,8
Chad,Benin,1
Congo (Brazzaville),Benin,3
Congo (Kinshasa),Benin,2
Cote d'Ivoire,Benin,3
Equatorial Guinea,Benin,2
France,Benin,1
Gabon,Benin,5
Kenya,Benin,1
Mali,Benin,2
Morocco,Benin,1
Nigeria,Benin,3
Senegal,Benin,1
Togo,Benin,2
Canada,Bermuda,2
United Kingdom,Bermuda,1
United States,Bermuda,8
Bangladesh,Bhutan,1
India,Bhutan,5
Nepal,Bhutan,1
Argentina,Bolivia,6
Bolivia,Bolivia,104
Brazil,Bolivia,5
Chile,Bolivia,3
Colombia,Bolivia,1
Panama,Bolivia,1
Paraguay,Bolivia,2
Peru,Bolivia,7
Spain,Bolivia,1
United States,Bolivia,2
Austria,Bosnia and Herzegovina,1
Bosnia and Herzegovina,Bosnia and Herzegovina,2
Croatia,Bosnia and Herzegovina,1
Denmark,Bosnia and Herzegovina,1
Germany,Bosnia and Herzegovina,2
Hungary,Bosnia and Herzegovina,1
Netherlands,Bosnia and Herzegovina,1
Serbia,Bosnia and Herzegovina,1
Slovenia,Bosnia and Herzegovina,1
Switzerland,Bosnia and Herzegovina,1
Turkey,Bosnia and Herzegovina,2
Botswana,Botswana,8
Kenya,Botswana,2
Namibia,Botswana,1
South Africa,Botswana,5
Zambia,Botswana,1
Zimbabwe,Botswana,1
Angola,Brazil,2
Argentina,Brazil,27
Aruba,Brazil,1
Barbados,Brazil,1
Bolivia,Brazil,4
Brazil,Brazil,1778
Canada,Brazil,2
Chile,Brazil,6
Colombia,Brazil,4
France,Brazil,4
French Guiana,Brazil,1
Germany,Brazil,13
Italy,Brazil,4
Mexico,Brazil,2
Netherlands,Brazil,2
Panama,Brazil,7
Paraguay,Brazil,5
Peru,Brazil,7
Portugal,Brazil,18
Qatar,Brazil,1
South Africa,Brazil,1
Spain,Brazil,9
Suriname,Brazil,1
Switzerland,Brazil,1
Turkey,Brazil,1
United Arab Emirates,Brazil,2
United Kingdom,Brazil,6
United States,Brazil,52
Uruguay,Brazil,14
Venezuela,Brazil,2
Antigua and Barbuda,British Virgin Islands,1
Netherlands Antilles,British Virgin Islands,2
Puerto Rico,British Virgin Islands,3
Saint Kitts and Nevis,British Virgin Islands,1
Virgin Islands,British Virgin Islands,1
Australia,Brunei,1
China,Brunei,1
Hong Kong,Brunei,2
Indonesia,Brunei,4
Malaysia,Brunei,4
Philippines,Brunei,2
Saudi Arabia,Brunei,1
Singapore,Brunei,2
Thailand,Brunei,2
United Arab Emirates,Brunei,1
Austria,Bulgaria,6
Belgium,Bulgaria,2
Bulgaria,Bulgaria,2
Cyprus,Bulgaria,3
Czech Republic,Bulgaria,2
France,Bulgaria,3
Germany,Bulgaria,11
Greece,Bulgaria,5
Hungary,Bulgaria,4
Israel,Bulgaria,2
Italy,Bulgaria,8
Lebanon,Bulgaria,1
Netherlands,Bulgaria,2
Poland,Bulgaria,2
Romania,Bulgaria,3
Russia,Bulgaria,5
Spain,Bulgaria,7
Switzerland,Bulgaria,1
Turkey,Bulgaria,1
Ukraine,Bulgaria,2
United Arab Emirates,Bulgaria,1
United Kingdom,Bulgaria,9
Algeria,Burkina Faso,1
Belgium,Burkina Faso,6
Benin,Burkina Faso,9
Burkina Faso,Burkina Faso,2
Cote d'Ivoire,Burkina Faso,4
Ethiopia,Burkina Faso,1
France,Burkina Faso,3
Ghana,Burkina Faso,1
Kenya,Burkina Faso,1
Mali,Burkina Faso,3
Morocco,Burkina Faso,1
Niger,Burkina Faso,7
Senegal,Burkina Faso,1
Togo,Burkina Faso,2
Burma,Burma,51
Cambodia,Burma,1
China,Burma,7
India,Burma,3
Malaysia,Burma,3
Singapore,Burma,4
Taiwan,Burma,1
Thailand,Burma,6
Vietnam,Burma,2
Belgium,Burundi,6
Kenya,Burundi,3
Rwanda,Burundi,5
Burma,Cambodia,1
Cambodia,Cambodia,8
China,Cambodia,7
Hong Kong,Cambodia,1
Laos,Cambodia,6
Malaysia,Cambodia,4
Singapore,Cambodia,6
South Korea,Cambodia,5
Taiwan,Cambodia,2
Thailand,Cambodia,5
Vietnam,Cambodia,7
Belgium,Cameroon,11
Benin,Cameroon,8
Cameroon,Cameroon,15
Central African Republic,Cameroon,8
Chad,Cameroon,3
Congo (Brazzaville),Cameroon,1
Congo (Kinshasa),Cameroon,10
Equatorial Guinea,Cameroon,4
Ethiopia,Cameroon,2
France,Cameroon,5
Gabon,Cameroon,4
Kenya,Cameroon,2
Morocco,Cameroon,2
Nigeria,Cameroon,2
Sao Tome and Principe,Cameroon,1
Switzerland,Cameroon,3
Algeria,Canada,1
Antigua and Barbuda,Canada,2
Aruba,Canada,1
Australia,Canada,1
Austria,Canada,3
Bahamas,Canada,6
Barbados,Canada,3
Belgium,Canada,8
Bermuda,Canada,2
Brazil,Canada,2
Canada,Canada,1090
Cayman Islands,Canada,2
Chile,Canada,1
China,Canada,12
Colombia,Canada,2
Costa Rica,Canada,1
Cuba,Canada,36
Denmark,Canada,3
Dominican Republic,Canada,16
El Salvador,Canada,1
France,Canada,13
Germany,Canada,19
Grenada,Canada,2
Guadeloupe,Canada,1
Haiti,Canada,1
Hong Kong,Canada,6
India,Canada,1
Israel,Canada,2
Italy,Canada,2
Jamaica,Canada,16
Japan,Canada,6
Jordan,Canada,3
Martinique,Canada,1
Mexico,Canada,84
Morocco,Canada,1
Netherlands,Canada,8
Netherlands Antilles,Canada,3
New Zealand,Canada,2
Pakistan,Canada,3
Panama,Canada,1
Peru,Canada,1
Philippines,Canada,1
Poland,Canada,2
Portugal,Canada,6
Puerto Rico,Canada,3
Qatar,Canada,1
Russia,Canada,1
Saint Kitts and Nevis,Canada,1
Saint Lucia,Canada,3
Saint Pierre and Miquelon,Canada,3
South Korea,Canada,4
Switzerland,Canada,9
Taiwan,Canada,3
Trinidad and Tobago,Canada,1
Turkey,Canada,1
Turks and Caicos Islands,Canada,4
Ukraine,Canada,1
United Arab Emirates,Canada,2
United Kingdom,Canada,45
United States,Canada,399
Venezuela,Canada,1
Brazil,Cape Verde,1
Cape Verde,Cape Verde,32
France,Cape Verde,2
Germany,Cape Verde,1
Luxembourg,Cape Verde,1
Netherlands,Cape Verde,1
Portugal,Cape Verde,7
Sao Tome and Principe,Cape Verde,1
Senegal,Cape Verde,2
Spain,Cape Verde,4
United Kingdom,Cape Verde,8
United States,Cape Verde,1
Bahamas,Cayman Islands,1
Canada,Cayman Islands,2
Cayman Islands,Cayman Islands,6
Cuba,Cayman Islands,1
Honduras,Cayman Islands,2
Jamaica,Cayman Islands,2
United States,Cayman Islands,19
Cameroon,Central African Republic,8
Chad,Central African Republic,1
Congo (Kinshasa),Central African Republic,1
Ethiopia,Central African Republic,2
France,Central African Republic,1
Kenya,Central African Republic,1
Benin,Chad,1
Cameroon,Chad,4
Central African Republic,Chad,1
Chad,Chad,2
Ethiopia,Chad,1
France,Chad,1
Kenya,Chad,1
Sudan,Chad,2
Argentina,Chile,10
Bolivia,Chile,3
Brazil,Chile,6
Canada,Chile,1
Chile,Chile,124
Colombia,Chile,2
Dominican Republic,Chile,1
Ecuador,Chile,1
Falkland Islands,Chile,1
France,Chile,2
Mexico,Chile,3
New Zealand,Chile,2
Panama,Chile,1
Paraguay,Chile,2
Peru,Chile,8
Spain,Chile,2
United States,Chile,9
Uruguay,Chile,2
Venezuela,Chile,1
Afghanistan,China,1
Algeria,China,1
Angola,China,1
Australia,China,16
Austria,China,2
Azerbaijan,China,2
Bangladesh,China,2
Belgium,China,2
Brunei,China,1
Burma,China,7
Cambodia,China,7
Canada,China,12
China,China,5381
Denmark,China,2
Egypt,China,4
Ethiopia,China,1
Finland,China,4
France,China,7
Georgia,China,1
Germany,China,17
Hong Kong,China,107
Hungary,China,2
India,China,8
Indonesia,China,7
Iran,China,2
Israel,China,2
Italy,China,7
Japan,China,146
Kazakhstan,China,5
Korea,China,3
Kyrgyzstan,China,5
Laos,China,4
Macau,China,37
Malaysia,China,22
Maldives,China,3
Mexico,China,1
Mongolia,China,3
Nepal,China,3
Netherlands,China,13
New Zealand,China,5
Northern Mariana Islands,China,2
Pakistan,China,5
Philippines,China,19
Qatar,China,4
Russia,China,33
Saudi Arabia,China,1
Singapore,China,38
South Korea,China,121
Spain,China,1
Sri Lanka,China,1
Sweden,China,2
Switzerland,China,2
Taiwan,China,165
Tajikistan,China,3
Thailand,China,42
Turkey,China,7
Turkmenistan,China,1
Ukraine,China,2
United Arab Emirates,China,13
United Kingdom,China,7
United States,China,49
Uzbekistan,China,2
Vietnam,China,15
Australia,Christmas Island,1
Cocos (Keeling) Islands,Christmas Island,1
Christmas Island,Cocos (Keeling) Islands,1
Argentina,Colombia,2
Aruba,Colombia,2
Bolivia,Colombia,1
Brazil,Colombia,4
Canada,Colombia,2
Chile,Colombia,2
Colombia,Colombia,297
Costa Rica,Colombia,4
Cuba,Colombia,2
Dominican Republic,Colombia,2
Ecuador,Colombia,10
El Salvador,Colombia,2
France,Colombia,1
Germany,Colombia,2
Mexico,Colombia,4
Netherlands Antilles,Colombia,2
Panama,Colombia,12
Peru,Colombia,3
Spain,Colombia,5
United States,Colombia,27
Venezuela,Colombia,5
Comoros,Comoros,1
Djibouti,Comoros,1
Kenya,Comoros,1
Madagascar,Comoros,4
Mayotte,Comoros,4
Reunion,Comoros,1
Tanzania,Comoros,1
Benin,Congo (Brazzaville),3
Cameroon,Congo (Brazzaville),1
Congo (Kinshasa),Congo (Brazzaville),4
Ethiopia,Congo (Brazzaville),1
France,Congo (Brazzaville),1
Gabon,Congo (Brazzaville),2
Morocco,Congo (Brazzaville),1
Angola,Congo (Kinshasa),8
Benin,Congo (Kinshasa),3
Cameroon,Congo (Kinshasa),14
Central African Republic,Congo (Kinshasa),1
Congo (Brazzaville),Congo (Kinshasa),4
Congo (Kinshasa),Congo (Kinshasa),6
Ethiopia,Congo (Kinshasa),2
France,Congo (Kinshasa),2
Gabon,Congo (Kinshasa),4
Kenya,Congo (Kinshasa),6
Malawi,Congo (Kinshasa),1
Morocco,Congo (Kinshasa),2
Rwanda,Congo (Kinshasa),1
South Africa,Congo (Kinshasa),3
Zambia,Congo (Kinshasa),1
Zimbabwe,Congo (Kinshasa),1
Australia,Cook Islands,1
Cook Islands,Cook Islands,14
French Polynesia,Cook Islands,1
New Zealand,Cook Islands,2
United States,Cook Islands,3
Canada,Costa Rica,1
Colombia,Costa Rica,4
Costa Rica,Costa Rica,64
Cuba,Costa Rica,2
Dominican Republic,Costa Rica,2
Ecuador,Costa Rica,1
El Salvador,Costa Rica,4
Guatemala,Costa Rica,3
Honduras,Costa Rica,6
Mexico,Costa Rica,3
Nicaragua,Costa Rica,4
Panama,Costa Rica,4
Peru,Costa Rica,4
Spain,Costa Rica,1
United States,Costa Rica,39
Venezuela,Costa Rica,2
Belgium,Cote d'Ivoire,6
Benin,Cote d'Ivoire,3
Burkina Faso,Cote d'Ivoire,4
France,Cote d'Ivoire,2
Ghana,Cote d'Ivoire,3
Guinea,Cote d'Ivoire,3
Kenya,Cote d'Ivoire,1
Liberia,Cote d'Ivoire,6
Mali,Cote d'Ivoire,4
Morocco,Cote d'Ivoire,1
Nigeria,Cote d'Ivoire,1
Senegal,Cote d'Ivoire,2
Togo,Cote d'Ivoire,1
Tunisia,Cote d'Ivoire,1
Austria,Croatia,2
Belgium,Croatia,2
Bosnia and Herzegovina,Croatia,1
Croatia,Croatia,8
Czech Republic,Croatia,1
Denmark,Croatia,2
France,Croatia,4
Germany,Croatia,15
Hungary,Croatia,1
Italy,Croatia,4
Macedonia,Croatia,1
Montenegro,Croatia,1
Netherlands,Croatia,1
Russia,Croatia,1
Serbia,Croatia,1
Switzerland,Croatia,2
Turkey,Croatia,2
United Kingdom,Croatia,6
Angola,Cuba,1
Argentina,Cuba,5
Bahamas,Cuba,1
Canada,Cuba,36
Cayman Islands,Cuba,1
Colombia,Cuba,2
Costa Rica,Cuba,2
Cuba,Cuba,38
Dominican Republic,Cuba,2
El Salvador,Cuba,1
France,Cuba,3
Germany,Cuba,6
Italy,Cuba,4
Martinique,Cuba,1
Mexico,Cuba,6
Netherlands,Cuba,3
Panama,Cuba,2
Peru,Cuba,1
Russia,Cuba,3
Spain,Cuba,4
Switzerland,Cuba,1
United Kingdom,Cuba,4
Venezuela,Cuba,2
Armenia,Cyprus,1
Austria,Cyprus,1
Bahrain,Cyprus,2
Belarus,Cyprus,1
Belgium,Cyprus,1
Bulgaria,Cyprus,3
Czech Republic,Cyprus,1
Egypt,Cyprus,1
France,Cyprus,1
Germany,Cyprus,7
Greece,Cyprus,8
Hungary,Cyprus,1
Israel,Cyprus,3
Italy,Cyprus,5
Jordan,Cyprus,1
Lebanon,Cyprus,2
Malta,Cyprus,2
Moldova,Cyprus,1
Netherlands,Cyprus,2
Norway,Cyprus,1
Poland,Cyprus,1
Romania,Cyprus,2
Russia,Cyprus,6
Serbia,Cyprus,1
Spain,Cyprus,1
Switzerland,Cyprus,1
Syria,Cyprus,2
Turkey,Cyprus,14
Ukraine,Cyprus,1
United Arab Emirates,Cyprus,3
United Kingdom,Cyprus,20
Armenia,Czech Republic,2
Austria,Czech Republic,3
Azerbaijan,Czech Republic,2
Belarus,Czech Republic,2
Belgium,Czech Republic,2
Bulgaria,Czech Republic,2
Croatia,Czech Republic,1
Cyprus,Czech Republic,1
Czech Republic,Czech Republic,4
Denmark,Czech Republic,3
Estonia,Czech Republic,1
Finland,Czech Republic,2
France,Czech Republic,8
Georgia,Czech Republic,1
Germany,Czech Republic,11
Greece,Czech Republic,1
Hungary,Czech Republic,3
Ireland,Czech Republic,1
Israel,Czech Republic,3
Italy,Czech Republic,16
Kazakhstan,Czech Republic,1
Latvia,Czech Republic,1
Lebanon,Czech Republic,1
Lithuania,Czech Republic,1
Macedonia,Czech Republic,1
Netherlands,Czech Republic,6
Norway,Czech Republic,2
Poland,Czech Republic,7
Portugal,Czech Republic,1
Romania,Czech Republic,1
Russia,Czech Republic,28
Slovakia,Czech Republic,3
Slovenia,Czech Republic,1
South Korea,Czech Republic,2
Spain,Czech Republic,9
Sweden,Czech Republic,4
Switzerland,Czech Republic,3
Turkey,Czech Republic,1
Ukraine,Czech Republic,6
United Arab Emirates,Czech Republic,4
United Kingdom,Czech Republic,11
United States,Czech Republic,2
Austria,Denmark,8
Bahrain,Denmark,1
Belgium,Denmark,4
Bosnia and Herzegovina,Denmark,1
Canada,Denmark,3
China,Denmark,2
Croatia,Denmark,2
Czech Republic,Denmark,3
Denmark,Denmark,20
Egypt,Denmark,2
Estonia,Denmark,2
Faroe Islands,Denmark,2
Finland,Denmark,8
France,Denmark,12
Germany,Denmark,25
Greece,Denmark,2
Greenland,Denmark,1
Hungary,Denmark,2
Iceland,Denmark,2
Iran,Denmark,1
Ireland,Denmark,2
Italy,Denmark,7
Japan,Denmark,2
Latvia,Denmark,4
Lithuania,Denmark,2
Luxembourg,Denmark,1
Montenegro,Denmark,1
Morocco,Denmark,2
Netherlands,Denmark,8
Norway,Denmark,22
Pakistan,Denmark,1
Poland,Denmark,6
Portugal,Denmark,5
Qatar,Denmark,1
Romania,Denmark,1
Russia,Denmark,4
Serbia,Denmark,2
Singapore,Denmark,2
Slovenia,Denmark,2
Spain,Denmark,22
Sweden,Denmark,11
Switzerland,Denmark,8
Thailand,Denmark,2
Turkey,Denmark,2
Ukraine,Denmark,3
United Arab Emirates,Denmark,2
United Kingdom,Denmark,25
United States,Denmark,8
Comoros,Djibouti,1
Ethiopia,Djibouti,4
Kenya,Djibouti,3
Saudi Arabia,Djibouti,1
Somalia,Djibouti,2
United Arab Emirates,Djibouti,1
Yemen,Djibouti,3
Antigua and Barbuda,Dominica,1
Barbados,Dominica,1
British Virgin Islands,Dominica,1
Guadeloupe,Dominica,1
Netherlands Antilles,Dominica,1
Puerto Rico,Dominica,1
Saint Lucia,Dominica,1
Saint Vincent and the Grenadines,Dominica,1
Antigua and Barbuda,Dominican Republic,3
Argentina,Dominican Republic,1
Austria,Dominican Republic,1
Canada,Dominican Republic,17
Chile,Dominican Republic,1
Colombia,Dominican Republic,2
Costa Rica,Dominican Republic,2
Cuba,Dominican Republic,4
France,Dominican Republic,6
Germany,Dominican Republic,9
Guadeloupe,Dominican Republic,3
Haiti,Dominican Republic,2
Martinique,Dominican Republic,1
Netherlands,Dominican Republic,2
Netherlands Antilles,Dominican Republic,3
Panama,Dominican Republic,4
Peru,Dominican Republic,2
Puerto Rico,Dominican Republic,6
Russia,Dominican Republic,4
Spain,Dominican Republic,7
Switzerland,Dominican Republic,1
Turks and Caicos Islands,Dominican Republic,2
United Kingdom,Dominican Republic,3
United States,Dominican Republic,43
Venezuela,Dominican Republic,1
Australia,East Timor,3
Singapore,East Timor,1
Argentina,Ecuador,1
Chile,Ecuador,1
Colombia,Ecuador,10
Costa Rica,Ecuador,1
Ecuador,Ecuador,67
El Salvador,Ecuador,1
Netherlands,Ecuador,2
Panama,Ecuador,4
Peru,Ecuador,4
Spain,Ecuador,4
United States,Ecuador,10
Venezuela,Ecuador,4
Algeria,Egypt,2
Angola,Egypt,1
Austria,Egypt,13
Bahrain,Egypt,2
Belgium,Egypt,3
China,Egypt,4
Cyprus,Egypt,1
Denmark,Egypt,2
Egypt,Egypt,47
Eritrea,Egypt,1
Ethiopia,Egypt,2
France,Egypt,5
Germany,Egypt,41
Ghana,Egypt,1
Greece,Egypt,3
Hungary,Egypt,1
India,Egypt,1
Iraq,Egypt,2
Israel,Egypt,1
Italy,Egypt,12
Jordan,Egypt,5
Kenya,Egypt,1
Kuwait,Egypt,17
Lebanon,Egypt,3
Libya,Egypt,5
Malta,Egypt,1
Morocco,Egypt,2
Netherlands,Egypt,6
